729,japan express,fast food,2016-05-19T00:00:00.000,------,20735,8983 woodyard rd,cheng nan
432,eastern carryout,carry-out,2016-05-19T00:00:00.000,facility closed,20746,4807 allentown rd,wang chan
358,costco wholesale 1039,membership warehouse,2016-05-19T00:00:00.000,critical violations observed,20613,16006 crain hwy,gail tsuboi
727,james mchenry elementary school,public school,2016-05-19T00:00:00.000,critical violations observed,20706,8909 mchenry ln,mark fossett
974,metro supermarket,grocery store,2016-05-19T00:00:00.000,------,20785,7734 landover rd,woon s cho
545,from the heart church ministries & christian school,private school,2016-05-19T00:00:00.000,critical violations observed,20746,4949 allentown rd,john a cherry ii
1173,popeyes 112,fast food,2016-05-19T00:00:00.000,------,20785,7706 landover rd,jerome friedlander
1560,the villa/catering by uptown,catering only,2016-05-19T00:00:00.000,------,20705,4060 powder mill rd,robert goyena jr
1947,home pretzel,carry-out,2016-05-19T00:00:00.000,------,20770,6200 greenbelt rd,hilda gomes
1883,fabulous food,carry-out,2016-05-19T00:00:00.000,------,20770,6200 greenbelt rd,hilda gomes
1770,brandywine sunoco,gas station store,2016-05-19T00:00:00.000,------,20613,14330 crain hwy,rahat maqsood
1507,taco bell/kfc 20880,fast food,2016-05-19T00:00:00.000,------,20705,11751 beltsville dr,robert carlucci
1564,thomas johnson middle school,public school,2016-05-19T00:00:00.000,critical violations observed,20706,5401 barker pl,mark fossett
8105,cafe allentown,restaurant,2016-05-19T00:00:00.000,critical violations observed,20746,4921 allentown rd,byung lee
7545,einstein bros bagels 2712,fast food,2016-05-19T00:00:00.000,compliant - no health risk,20613,15810 crain hwy,mike tattersfield
3412,the tender rib & catering co,carry-out,2016-05-19T00:00:00.000,critical violations observed,20746,4809 allentown rd,cynthia wallace
8171,succotash restaurant,restaurant,2016-05-19T00:00:00.000,critical violations observed,20745,186 waterfront st,jason berry
475,elks lodge 1778,private club,2016-05-20T00:00:00.000,compliance schedule - completed,20737,6700 kenilworth ave,william wert
470,el taco rico,carry-out,2016-05-20T00:00:00.000,critical violations observed,20770,6056 greenbelt rd,satinder singh bakshi
951,martin luther king middle school,public school,2016-05-20T00:00:00.000,compliant - no health risk,20705,4545 ammendale rd,mark fossett
937,mannies carryout,carry-out,2016-05-20T00:00:00.000,------,20712,2305 varnum st,yan z chen
617,grand china,carry-out,2016-05-20T00:00:00.000,critical violations observed,20712,2300 arundel rd,kaihua chen
472,el triunfo tex-mex restaurant,full service,2016-05-20T00:00:00.000,critical violations observed,20783,1835 university blvd,aries funes
432,eastern carryout,carry-out,2016-05-20T00:00:00.000,compliance schedule - completed,20746,4807 allentown rd,wang chan
59,ardmore carryout,carry-out,2016-05-20T00:00:00.000,compliant - no health risk,20785,8307 ardwick-ardmore rd,george sullivan
345,collington kitchen,full service,2016-05-20T00:00:00.000,compliant - no health risk,20774,501 commerce dr,sang han
218,c & c catering,catering only,2016-05-20T00:00:00.000,compliant - no health risk,20774,575 commerce dr,cynthia griffith
250,casablanca cafe,carry-out,2016-05-20T00:00:00.000,critical violations observed,20772,8325 old marlboro pike,terry staley
62,asian cafe,carry-out,2016-05-20T00:00:00.000,critical violations observed,20772,5080 brown station rd,yun li
229,camelot by martins,catering only,2016-05-20T00:00:00.000,------,20774,13901 central ave,don meares
1794,cheverly food mart,convenience store,2016-05-20T00:00:00.000,critical violations observed,20785,6435 landover rd,mela dawit
1100,parkdale high school,public school,2016-05-20T00:00:00.000,compliance schedule - completed,20737,6001 good luck rd,mark fossett
1516,taqueria el rey,full service,2016-05-20T00:00:00.000,compliance schedule - completed,20737,6017 66th ave,alejandro reyes
8112,peru charbroiled chicken,full service,2016-05-20T00:00:00.000,critical violations observed,20721,12106 central ave,kin chan
2247,seven eleven 11663b,convenience store,2016-05-20T00:00:00.000,------,20712,2310 varnum st,abebe tefera
2558,dollar tree 1694,dollar store,2016-05-20T00:00:00.000,compliant - health risk,20774,850 largo center dr,rosalie beaugard lee
422,the corner lounge,full service,2016-05-23T00:00:00.000,compliant - no health risk,20774,105 robert crain hwy southeast,paul mcdonald
542,fresh deli,deli,2016-05-23T00:00:00.000,compliant - health risk,20785,4301 garden city dr,kevin watts
82,baden grocery,convenience store,2016-05-23T00:00:00.000,compliant - no health risk,20613,16709 brandywine rd,kun hewng kim
612,grace brethren christian school,private school,2016-05-23T00:00:00.000,------,20735,6501 surratts rd,george hornickel
78,b & j carryout,carry-out,2016-05-23T00:00:00.000,------,20607,15805 livingston rd,carmen young
702,ihop - college park,full service,2016-05-23T00:00:00.000,compliant - no health risk,20740,9680 baltimore ave,geoffrey trout
76,azteca bar & grill,full service,2016-05-23T00:00:00.000,critical violations observed,20740,9505 baltimore ave,james burick
601,golden house carryout,carry-out,2016-05-23T00:00:00.000,critical violations observed,20782,6211 belcrest rd,qiao fang lu
75,avalon elementary school,public school,2016-05-23T00:00:00.000,compliant - no health risk,20744,7302 webster ln,mark fossett
675,house of chang iii,full service,2016-05-23T00:00:00.000,------,20774,64 watkins park dr,ming zhang
1282,safeway 2853,grocery store,2016-05-23T00:00:00.000,critical violations observed,20613,15916 crain hwy,james donald
1857,dunkin donuts,fast food,2016-05-23T00:00:00.000,------,20782,3030 queens chapel rd,rafey omar
1794,cheverly food mart,convenience store,2016-05-23T00:00:00.000,compliant - no health risk,20785,6435 landover rd,mela dawit
1638,wawa 562,gas station store,2016-05-23T00:00:00.000,------,20774,163 crain hwy,rhoda thomas
